,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,Search by name,,,,,,,,,,,,,,3 Months,1 Year,3 Years p.a,5 Years p.a,10 Years p.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,Search by APIR or Ticker,,,,,,,,,,,,,,1/10/2024,1/01/2024,1/01/2022,1/01/2020,1/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,31/12/2024,31/12/2024,31/12/2024,31/12/2024,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Asset Class (Findex),Sector (Findex),APIR Code,Ticker,Group/Investment,Status,Status Date,MDA/SOA,Morningstar Analyst Rating,Morningstar Rating Overall,Alternate Rating,Investment Type,SOA Wording - Manager,SOA Wording - Strategy,SOA Wording - Investment Rationale,SOA Wording (Combined),"Return
(Cumulative)","Return
(Cumulative)","Return
(Annualized)","Return
(Annualized)","Return
(Annualized)",Previous Status,Status Change Date,Wrap/TAMP Availability,Platform,Arc Site,Sustainable Investment,Employs Exclusions,Minimum Investment (Base Currency),Investment Management Fees & Costs,Performance Fee,Total Cost Ratio (TCR),Buy-Spread,Sell-Spread,Closed to All Inv,Closed to All Investors Date,Closed to New Inv,Closed to New Investors Date,Fund Termination (Obsolete Event),Fund Termination Date,,,,,,,,,,,,,1,Asset Class,Status,Platform,Wrap,Sustainable Investment,Employs Exclusions,Search Name,Search Apir,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
,,,,Domestic Equity - Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,1,
Domestic Equity,Large Cap,HOW0121AU,10167,Alphinity Sustainable Share,Approved,5/7/2025,MDA/SOA,Bronze,4,Lonsec - Recommended,Open-End Fund,"Alphinity is an active, boutique, equities investment manager based in Sydney and majority owned by its staff. Alphinity has dedicated and experienced teams managing both Australian and global equity strategies.",The Fund invests in a diversified portfolio of Australian stocks listed on the ASX that have been screened through ESG filters.,"We view this Fund as a quality addition to your portfolio, providing ethically focussed investment grade exposure to domestic equity securities.","Alphinity is an active, boutique, equities investment manager based in Sydney and majority owned by its staff. Alphinity has dedicated and experienced teams managing both Australian and global equity strategies. The Fund invests in a diversified portfolio of Australian stocks listed on the ASX that have been screened through ESG filters. We view this Fund as a quality addition to your portfolio, providing ethically focussed investment grade exposure to domestic equity securities. ",-2.39,5.05,5.25,13.32,8.34,Approved,2/5/2019,BT Investment Wrap;MLC Wrap Super Series 2 - Full Inv;CFS FirstWrap Investments;Asgard Infinity eWrap Investment Full;Macquarie Investment Manager;Netwealth Investment Wrap;Netwealth Super Wrap;MLC Wrap IDPS;MLC Navigator Super;Macquarie Pension Consolidator II Elevat;Oasis IDPS;OneVue Unified Managed Account;Netwealth Super Accelerator Plus;Netwealth Wealth Accelerator Plus;Perpetual Private Wrap;BT Panorama;HUB24 Invest Choice;mFund Settlement Service;MyNorth Investment Choice;Asgard Employee Super Account;Macquarie Super Manager II;Macquarie Investment Manager II;Macquarie Super Consolidator II Elevate;Shadforth Portfolio Service - Investment;Asgard Infinity eWrap Super Full;BT Panorama Inv - Full Menu;BT Panorama Super - Full Menu;HUB24 Invest Core;HUB24 Super Core;ClearView WealthSolutions Retirement Inc;Asgard eWrap;Asgard eWrap Investment;Expand Extra Pension;Expand Extra Super;HUB24 Pension Choice;HUB24 Pension Core;ClearView WealthSolutions2 Super;Shadforth Portfolio Service Super;Shadforth Portfolio Service Pension;Macquarie Inv Consolidator II - Elevate;Macquarie Investment Consolidator;Expand Extra Investment;Macquarie Super Manager;Macquarie Super Consolidator;Macquarie Super and Pension Manager II;Macquarie Pension Manager II;Macquarie Pension Manager;Macquarie Pension Consolidator;CFS Edge Super;CFS Edge Pension;CFS Edge Investments;,"Asgard, BT Wrap, CFS (Encircle), Centric,",https://arc2.morningstar.com.au/Fund/Profile/10167,Yes,Yes,"10,000",0.95,,0.95,0.20,0.20,No,,No,,,,8,Z8,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,1,
Domestic Equity,Large Cap,PPL0002AU,13187,Antares Prof Dividend Builder,Approved,5/7/2025,SOA,,4,Lonsec - Investment Grade,Open-End Fund,"Antares is a dedicated asset management business managing more than $35.6 billion on behalf of Australian investors, across Australian equities and fixed income.",The Fund is an actively managed Australian share portfolio which aims to deliver regular dividend income and to achieve moderate capital growth by investing in a diversified portfolio of Australian companies.,"We view this Fund as a quality addition to your portfolio, providing investment grade exposure to domestic equity securities.","Antares is a dedicated asset management business managing more than $35.6 billion on behalf of Australian investors, across Australian equities and fixed income. The Fund is an actively managed Australian share portfolio which aims to deliver regular dividend income and to achieve moderate capital growth by investing in a diversified portfolio of Australian companies. We view this Fund as a quality addition to your portfolio, providing investment grade exposure to domestic equity securities. ",-1.22,1.00,5.05,14.43,5.14,Approved,2/5/2019,BT Investment Wrap;MLC Wrap Super Series 2 - Full Inv;Macquarie Investment Manager;IOOF Pursuit Investment Select;MLC Wrap IDPS;MLC Navigator Super;Macquarie Pension Consolidator II Elevat;OneVue Unified Managed Account;Emerald SuperWrap;Emerald PensionWrap;Emerald InvestmentWrap;Perpetual Private Wrap;Perpetual Private Super Wrap;BT Panorama;HUB24 Invest Choice;MyNorth Investment Choice;Macquarie Super Manager II;Macquarie Investment Manager II;Macquarie Super Consolidator II Elevate;Shadforth Portfolio Service - Investment;BT Panorama Inv - Full Menu;BT Panorama Super - Full Menu;HUB24 Invest Core;HUB24 Super Core;Power Wrap Investment Account;Power Wrap Super Account;Power Wrap Pension Account;Expand Extra Pension;Expand Extra Super;HUB24 Pension Choice;HUB24 Pension Core;ClearView WealthSolutions2 Super;Shadforth Portfolio Service Super;Shadforth Portfolio Service Pension;Macquarie Inv Consolidator II - Elevate;Macquarie Investment Consolidator;Expand Extra Investment;Macquarie Super Manager;Macquarie Super Consolidator;Macquarie Super and Pension Manager II;Macquarie Pension Manager II;Macquarie Pension Manager;Macquarie Pension Consolidator;PlatformPlus Super Select Menu;PlatformPlus IDPS Select Menu;,"Asgard, BT Wrap, Centric,",https://arc2.morningstar.com.au/Fund/Profile/13187,No,Yes,"20,000",0.60,,0.60,0.15,0.15,No,,No,,,,9,Z9,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,1,
Domestic Equity,Large Cap,,ARG,Argo Ord,Approved,5/7/2025,SOA,Neutral,,Lonsec - Recommended,Closed-End Fund,Argo Investments Limited was established in 1946 and Argo seeks to provide long-term capital growth and a regular income stream to shareholders.,Argo invests predominantly in shares of other companies listed on the Australian Stock Exchange. The Company aims to maximise long-term returns to shareholders through a balance of capital and dividend growth from a diversified portfolio.,"We view this Listed Investment Company (LIC) as a quality addition to your portfolio, providing investment grade exposure to Domestic Equity securities.","Argo Investments Limited was established in 1946 and Argo seeks to provide long-term capital growth and a regular income stream to shareholders. Argo invests predominantly in shares of other companies listed on the Australian Stock Exchange. The Company aims to maximise long-term returns to shareholders through a balance of capital and dividend growth from a diversified portfolio. We view this Listed Investment Company (LIC) as a quality addition to your portfolio, providing investment grade exposure to Domestic Equity securities. ",-1.50,3.44,4.90,11.14,6.15,Not on APL,10/31/2011,Macquarie Pension Consolidator II Elevat;HUB24 Invest Choice;HUB24 Super Choice;MyNorth Investment Choice;Macquarie Super Manager II;Macquarie Super Consolidator II Elevate;HUB24 Invest Core;HUB24 Super Core;HUB24 Pension Choice;HUB24 Pension Core;Macquarie Super Manager;Macquarie Super Consolidator;Macquarie Super and Pension Manager II;Macquarie Pension Manager II;Macquarie Pension Manager;Macquarie Pension Consolidator;PlatformPlus Super Select Menu;PlatformPlus IDPS Select Menu;,"Centric,",https://arc2.morningstar.com.au/LIC/Profile/ARG,No,No,,,,0.15,,,No,,No,,,,10,Z10,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,1,
Domestic Equity,Large Cap,AAP0103AU,6117,Ausbil Australian Active Equity,Approved,5/7/2025,SOA,Silver,4,Lonsec - Recommended,Open-End Fund,"Ausbil Investment Management Limited is a leading Australian investment manager. Ausbil’s core business is the management of Australian equities for major superannuation funds, institutional investors, master trust and retail clients.","Ausbil’s active investment process aims to exploit the inefficiencies across the market, at all stages of the cycle and across all market conditions, with the aim of producing consistent and risk controlled outperformance.","We view this fund as a quality addition to your portfolio, providing investment grade exposure to Domestic Equity securities.","Ausbil Investment Management Limited is a leading Australian investment manager. Ausbil’s core business is the management of Australian equities for major superannuation funds, institutional investors, master trust and retail clients. Ausbil’s active investment process aims to exploit the inefficiencies across the market, at all stages of the cycle and across all market conditions, with the aim of producing consistent and risk controlled outperformance. We view this fund as a quality addition to your portfolio, providing investment grade exposure to Domestic Equity securities. ",-5.52,-2.18,3.39,14.79,7.61,Under review,2/5/2019,BT Investment Wrap;North Wrap;MLC Wrap Super Series 2 - Full Inv;CFS FirstWrap Investments;Asgard Infinity eWrap Investment Full;Macquarie Investment Manager;Macquarie Investment Accumulator;Netwealth Investment Wrap;Netwealth Super Wrap;IOOF Pursuit Investment Select;MLC Wrap IDPS;MLC Navigator Super;Macquarie Pension Consolidator II Elevat;Oasis IDPS;OneVue Unified Managed Account;Emerald SuperWrap;Emerald PensionWrap;Emerald InvestmentWrap;Netwealth Super Accelerator Plus;Netwealth Wealth Accelerator Plus;Perpetual Private Wrap;Perpetual Private Super Wrap;BT Panorama;Macquarie Super Accumulator;HUB24 Invest Choice;mFund Settlement Service;MyNorth Investment Choice;Asgard Elements Investments;Asgard Employee Super Account;Macquarie Investment Manager II;Macquarie Super Consolidator II Elevate;Asgard Infinity eWrap Super Full;BT Panorama Inv - Full Menu;BT Panorama Super - Full Menu;HUB24 Invest Core;HUB24 Super Core;Power Wrap Investment Account;Power Wrap Super Account;Power Wrap Pension Account;ClearView WealthSolutions Retirement Inc;Asgard eWrap;Asgard eWrap Investment;HUB24 Pension Choice;HUB24 Pension Core;ClearView WealthSolutions2 Super;Macquarie Inv Consolidator II - Elevate;Macquarie Investment Consolidator;Expand Extra Investment;CFS Edge Super;CFS Edge Pension;CFS Edge Investments;,"Asgard, BT Wrap, Centric,",https://arc2.morningstar.com.au/Fund/Profile/6117,No,No,"20,000",0.90,0.00,0.90,0.20,0.20,No,,No,,,,11,Z11,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,1,
